name,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat,Clm,Naive,Logis,cratio,acat
Clm,1.39(0.069),0.483(0.017),0.538(0.02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,1.135(0.087),0.469(0.024),0.468(0.024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,1.244(0.067),0.512(0.021),0.487(0.023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,1.381(0.068),0.485(0.017),0.542(0.02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,1.388(0.066),0.484(0.016),0.539(0.019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,6.271(0.008),0.469(0),0.638(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,6.23(0.096),0.469(0.005),0.364(0.083),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,6.249(0.066),0.468(0.004),0.365(0.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,6.277(0.036),0.468(0.002),0.621(0.07),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,6.269(0),0.469(0),0.638(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,1.588(0.112),0.44(0.028),0.422(0.036),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,1.742(0.218),0.424(0.03),0.348(0.057),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,1.623(0.136),0.432(0.026),0.4(0.041),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,1.557(0.092),0.434(0.029),0.366(0.05),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,1.681(0.118),0.444(0.026),0.417(0.032),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm,0.082(0.009),0.922(0.008),0.801(0.028),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,0.208(0.021),0.851(0.013),0.647(0.04),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,0.08(0.012),0.934(0.009),0.88(0.028),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
