name,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat,Clm.,Naive,Logis,cratio,acat
cratio,2.244(0.121),0.748(0.007),0.711(0.016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,2.188(0.132),0.751(0.008),0.724(0.014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm.,2.058(0.142),0.758(0.008),0.738(0.016),,CBOW1_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,2.852(0.241),0.396(0.016),0.248(0.016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,1.87(0.141),0.751(0.01),0.376(0.032),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,2.108(0.155),0.755(0.009),0.731(0.017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,2.056(0.145),0.759(0.008),0.741(0.014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm.,2.116(0.16),0.755(0.01),0.735(0.018),,CBOW1_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,2.925(0.242),0.396(0.018),0.245(0.015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,1.901(0.142),0.75(0.011),0.391(0.048),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,2.177(0.155),0.752(0.009),0.726(0.017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acat,2.131(0.15),0.755(0.009),0.735(0.016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clm.,2.165(0.109),0.753(0.006),0.725(0.014),,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naive,2.577(0.245),0.441(0.02),0.268(0.018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logis,2.044(0.128),0.752(0.008),0.382(0.036),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cratio,2.189(0.11),0.751(0.007),0.718(0.014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
